"arquivo","versao","genomas","max_param","tipo_output","timestamp","elapsed_sec","user_time","system_time","cpu_percent","max_rss_mb"
"fsm_output_log_v2_0_100genomas_600_max_TXT--2025-08-05_23-45-00.txt","v2_0",100,600,"TXT","2025-08-05_23-45-00",2444.87,2373.01,62.58,99,7734.37
"fsm_output_log_v2_0_250genomas_600_max_TXT--2025-08-06_00-26-00.txt","v2_0",250,600,"TXT","2025-08-06_00-26-00",87,5027.56,187.4,99,19390.47
"fsm_output_log_v2_0_25genomas_600_max_TXT--2025-08-05_23-30-28.txt","v2_0",25,600,"TXT","2025-08-05_23-30-28",844.53,829.28,12.24,99,1794.62
"fsm_output_log_v2_1_100genomas_600_max_TXT--2025-08-06_02-08-45.txt","v2_1",100,600,"TXT","2025-08-06_02-08-45",2373.88,2290.16,75.47,99,7734.27
"fsm_output_log_v2_1_250genomas_600_max_TXT--2025-08-06_02-48-43.txt","v2_1",250,600,"TXT","2025-08-06_02-48-43",84,4860.8,193.3,99,19390.44
"fsm_output_log_v2_1_25genomas_600_max_TXT--2025-08-06_01-53-43.txt","v2_1",25,600,"TXT","2025-08-06_01-53-43",883.43,867.25,13.21,99,1794.41
"fsm_output_log_v2_2_100genomas_600_max_TXT--2025-08-06_04-28-53.txt","v2_2",100,600,"TXT","2025-08-06_04-28-53",2360.44,2278.1,57.53,98,7734.29
"fsm_output_log_v2_2_250genomas_600_max_TXT--2025-08-06_05-08-20.txt","v2_2",250,600,"TXT","2025-08-06_05-08-20",84,4818.22,186.58,98,19390.39
"fsm_output_log_v2_2_25genomas_600_max_TXT--2025-08-06_04-13-50.txt","v2_2",25,600,"TXT","2025-08-06_04-13-50",874.29,843.69,25.23,99,1794.47
"fsm_output_log_v2_3_100genomas_600_max_TXT--2025-08-06_06-47-59.txt","v2_3",100,600,"TXT","2025-08-06_06-47-59",2425.92,2335.14,66.11,98,7734.16
"fsm_output_log_v2_3_250genomas_600_max_TXT--2025-08-06_07-28-27.txt","v2_3",250,600,"TXT","2025-08-06_07-28-27",85,4874.07,188.26,98,19390.46
"fsm_output_log_v2_3_25genomas_600_max_TXT--2025-08-06_06-33-27.txt","v2_3",25,600,"TXT","2025-08-06_06-33-27",860.54,840.8,14.86,99,1794.43
"fsm_output_log_v2_4_100genomas_600_max_TXT--2025-08-06_09-09-08.txt","v2_4",100,600,"TXT","2025-08-06_09-09-08",2409.34,2309.32,71.38,98,7734.14
"fsm_output_log_v2_4_250genomas_600_max_TXT--2025-08-06_09-49-37.txt","v2_4",250,600,"TXT","2025-08-06_09-49-37",86,4900.85,212.36,98,19390.41
"fsm_output_log_v2_4_25genomas_600_max_TXT--2025-08-06_08-54-05.txt","v2_4",25,600,"TXT","2025-08-06_08-54-05",899.31,876.35,15.32,99,1794.65
"fsm_output_log_v1_0_100genomas_600_max_TXT--2025-08-04_07-30-11.txt","v1_0",100,600,"TXT","2025-08-04_07-30-11",1501.68,1440.61,38.52,98,7734.44
"fsm_output_log_v1_0_250genomas_600_max_TXT--2025-08-04_13-13-13.txt","v1_0",250,600,"TXT","2025-08-04_13-13-13",89,5063.2,184.06,97,19390.73
"fsm_output_log_v1_0_25genomas_600_max_TXT--2025-08-04_02-49-29.txt","v1_0",25,600,"TXT","2025-08-04_02-49-29",349.07,339.41,7.71,99,1794.6
